#
# Version TT_2.0
#

#  Parameter thresholds:
    0.001562500000000    0.001575211391707    1.087121212121212    0.019289743778870
   19  6 27  7 23   701
   20  9 27  6 32   953
   19  3 27 17  5   709
   19 13 19 12 36   692
   19  5 17 18 37   607
   19 29 22  2 34   830
   18 17 19 14 39   583
   23 18 15 14 38   530
   22 19 16 13 27   561
   21 13 16 16 29   708
   20  7 20 13 39   662
   19 12 16 20 24   580
   20 12 18 20  2   774
   19 18 13 16 38   558
   19 18 16 14 38   511
   19 17 14 17 38   663
   19 18 15 16 37   636
   20 16 18 16  3   560
   19 13 16 19 21   464
   19 20 15 14 23   891
   18 16 14 22 37   620
   21 13  9 24 33   534
   20 39  9 25 25   545
   20 12 15 20 36   559
   19 10 10 25 35   952
   20 14 13 24 23   888
   20 16 14 25  4   508
   20 13 12 25 27   745
   19 11 17 20 28  1429
   19  7 12 25 35   610
   19  3 15 22 35   589
   19 13 17 26  0   584
   19 18 15 22  2   635
   20 17 17 25  0   551
   20 16 17 17 11   645
   19 17 12 22 31   915
   19 17 12 18 38   538
   19  9 17 18 36   778
   19  8 17 19 36   535
   18  8 15 27 31   618
   22 13 12 27 27  1157
   22  8 15 24 35  1672
   21 13  9 28  1   919
   19  1 20 24 19   664
   20  1 17 24 27  1155
   20 11 17 22 18   555
   19  1 23 22  4   642
   19  1 20 27  2  1200
   19 12 14 24 35   550
   19  1 24 22  1   486
   18  1 30 19 24   920
   23  1 28 18 25   512
   21  3 24 15 29   697
   20  1 31 22  0   582
   21  3 27 20  4   495
   19  1 28 17 27   543
   19  1 30 12 32   630
   21  1 28 14 29   905
   19  2 26 12 37   552
   19  2 29 11 37   864
   19  2 26 19 23   621
   19  4 27 21  1  1218
   18  2 27 14 39  1360
   21  6 21 14 39   624
   20  1 28 13 35  1184
   19  4 23 14 39   651
   18 18 22  9 39   718
   18 26 18  6 36   722
   19 24 18  6 39   721
   19 21 19  6 39   724
   20 20 22  6 37   912
   19 23 19  6 35   794
   19 22 18  8 27   816
   18  1 23 19 29   730
   18  2 24 20 27   666
   21  1 28 20 11   731
   18 19 24  6 34   590
   19 14 26  6 17  1176
   19 17 25  6 19   856
   19 12 26  6 32  1180
   18 20 16 14 35   647
   19 20 16 12 37  1303
   18  1 16 27 27   654
   18  1 38  7 36   733
   18 39 13 13 29   735
   19 22 13 13 36   734
   19 21 13 12 39   705
   19 39 13 18  3   764
   18  3 18 18 37   672
   19  3 19 20 35   926
   18 11 18 19 36   677
   20  6 19 19 33  1197
   20  4 23 19 20   863
   19 12 18 17 36   771
   20 12 16 19 37   603
   19 16 16 17 36   740
   19  4 20 23 18   928
   19 15 18 17 13   736
   19 17 18 17 10  1520
   20 18 16 16 36   831
   19 18 17 20  1  1386
   18 24 14  9 39  1384
   18 39 14 13 29   679
   20 22 15 11 34   948
   18 22 16 12 29   669
   18  0 35  6 39   862
   18  7 22 14 39   985
   18 20 19  8 38   972
   19 22 19  8 19  1769
   18 19 22  8 39  1400
   19 19 21  9 12  1399
   18 39 20  2 35   649
   18  3 20 17 36   907
   18  1 28 17 31   822
   18  5 19 17 38  1084
   18 28 18  4 35  1173
   18 21 12 18 27   675
   18 10  8 26 32  1385
   18  1 27 18 27   975
   19  1 25 18 30   704
   20  3 21 19 31   909
   21  3 20 19 34   947
   18  1 25 19 30  1028
   18  1 39  8  7   941
   20  1 39 10  2   989
   20  1 37 13  0  1124
   18 19 28  3 29   713
   18 16 29  3 37  1255
   18  5 27  9 18  1748
   18 20 21  7 38   821
   18 12 20 13 15  1079
   19 12 21 12 15   655
   18 14 18 23  1   668
   18 26 20  4 32   712
   18 11 14 27 27   823
   18  8 34  4 18   699
   18 18 14 23  7  1538
   18 24 25  3  8   850
   18  1 32 13  2   892
   18 19 25  5 34   946
   18  3 21 15 37  1135
   19  1 27 17 32   987
   20  3 21 19 33  1078
   18  3 23 16 35   703
   18  9 21 13 26   939
   18 12 23 10  3  1248
   19  8 23 16  2  1132
   19  6 23 14 32   968
   19  9 23 10 39   723
   18  3 21 17 36   563
   18 31 21  2 34   686
   18 19 20  9 35   768
   18  7 28  6 35   806
   18  5 36  6 21  1261
   20  7 29  6 39   899
   20 16 24  6 39   754
   19  4 29 10 18  1017
   20  5 36  8  9   693
   18 15 25  6 36   706
   18  7 29  9  1   954
   18  7 28  8 14   678
   20  9 25  8 23   961
   18 39 14 16  3  2712
   18 22 15 18  1   880
   18 21 14 16 18  1747
   18  1 36 10 12   752
   18  1 34 15  0   962
   18  1 33 19  0   674
   18  2 18 28  0   772
   18 18 14 28  0  1141
   18 11 17 24 11   631
   18 13 18 19 11   770
   18  1 30 20  9   958
   18  5 39  6 15  1070
   18  6 21 19 17  1798
   19 10 20 20  2   711
   18  7 27 17  1   710
   18  6 28 10 12   875
   17  1 38 18 30   690
   22  1 39 15  7   773
   21  1 36 11 36   753
   19  1 38  9 35   876
   18  1 30 19 26   688
   17  1 23 26 30   670
   22  1 19 23 32  1182
   21  1 19 22 34   691
   21  5 26 23  0   707
   19  5 23 25  3   689
   19  4 16 24 35   775
   19  0 23 27  1   671
   18  1 25 23 10   889
   20  1 24 23 16   785
   18  1 25 28  0   605
   18  1 19 24 33   694
   18  1 27 21  6   665
   17 20 16 17 39   756
   18 21 14 17 39  1478
   19 39 12 18 34   648
   19 39 13 16 26   893
   18 21 14 18 26   890
   19 17 13 22 36   650
   19 18 12 20 37  1430
   18 21 12 22 33   619
   18  5 19 16 39   659
   18 17 17 17 39   761
   19 14 18 17 37  1212
   18  8 18 18 38  1612
   18 18 14 22 35   744
   18 22 13 16 37  1920
   17  8 13 28 31   760
   20  0 21 28  2   747
   20  9 15 28 15  1231
   17 19 22 12 39   783
   20 20 18 12 30  1159
   19 19 17 14 39  1162
   19 20 18 13 14   746
   20 19 18 14 30  1154
   19 10 21 14 31   916
   19 20 18 10 39  1312
   18 22 18 12 28   743
   18 18 20 13  8   673
   18  9 23 12 34   667
   18 12 23 12 24  1193
   20 15 25  7 16   643
   19 12 24 10  5  1158
   18  8 26 17  1   914
   18 12 27 10  0   629
   18 19 18 18  1   615
   18 13 20 21  0  1546
   17 29 20  4 39  1153
   20 39 19  3 22   640
   17  2 27 22 24   917
   19  6 21 23 17  1440
   20 11 18 20 35   680
   19  7 18 22 34  1441
   18  6 19 23 33  1442
   18  2 25 21 27   612
   19  1 24 22 30   627
   17 26 22  4 39  1185
   19 25 25  2 38   872
   20 21 24  4 39   873
   19 23 23  4 39   762
   19 27 21  4 39  1548
   18 25 27  2 38  1092
   20 22 31  2 38   780
   20 29 26  2 27  1105
   18 24 24  3 39   757
   18 20 23  6 39  2227
   18 20 24  6 29   868
   17 12 25 10 36  1005
   20  4 29 10 36   748
   19  3 27 14 36  1006
   18  9 24 12 34   797
   19  4 27 13 33   865
   18  7 24 14 26   867
   18  4 26 20  8   793
   17 20 22  9 39   869
   17 11 18 30  0   788
   18  4 26 26  0   934
   18  1 28 27  0   725
   18  1 31 25  0   857
   17 10 21 17 36   847
   20  7 20 20 30  1001
   20 10 20 21 12   935
   19 11 18 22 30   813
   18  7 23 20 19   842
   19  7 24 17 24   841
   18  9 15 28 23   840
   18  8 23 16 24   758
   18 10 23 14 16   798
   17  8 20 18 38  1186
   19 10 21 17 37   843
   19  7 20 20 35   749
   19  5 20 22 34   911
   20  1 21 26 31   737
   17 16 16 22 27  1225
