#
# Version TT_2.0
#

#  Parameter thresholds:
    0.001562500000000    0.001575211391707    1.087121212121212    0.017191781140921
   22  1 37  6 35   471
   21  4 34 10  1   643
   20  2 28 10 37   666
   20  1 30  6 39   496
   20  1 29 14 24   711
   20  3 35  5 39   912
   20  7 26  4 39   653
   19  1 29  9 39   656
   20  1 25 10 39   529
   20  1 30 10 38   780
   19 28 19  2 30   504
   23 28 23  1 30   843
   20 27 15  2 39   856
   19 14 21  6 38   563
   21 16 21  4 39   667
   19  1 37  8 33   527
   19  1 24 12 38   631
   22  1 29 12 33  1004
   20  1 25 14 33   458
   19 22 12  9 33   444
   21 21 13  9 21   522
   19  3 15 18 36   523
   19 39 14  3 35   469
   19  6 18 19 13   467
   19  5 13 23 15   650
   19  1 13 25 17   567
   19  9 32  2 39   485
   19  9 22  9 34   680
   19 27 20  2 30   776
   19 13 19  8 38  1864
   19 20 13  9 34   464
   19  1 17 21 19   565
   19 26 14  4 17   679
   19  9 14 18 32   526
   19 10 22 10  3   481
   19  1 24 14 35   568
   19  6 36  8  0   479
   19 15 24  2 39   779
   19 17 22  3 39   566
   19 18 21  4 36   864
   19  3 23 12 35   421
   19  2 23 14 36   511
   19 12  8 23 15   524
   20 39  7 23 32   519
   19  1 22 12 39  1258
   19 14 23  6  2   468
   19 10 24  5 20   477
   19  8 26  5 31   447
   19  5 35  7 20   828
   20  4 36 10  2   515
   22  5 39  5 26   823
   19  1 39  8  9   451
   19  1 39 10  3   698
   19  1 22 19 32   700
   19  3 19 15 37   530
   19 18 20  6 23   518
   19 11 17 20  0   440
   21 15 12 20 20   456
   20 11 14 20 20   528
   19 17 13 22  0   450
   19 23 15  3 39   473
   20 22 14  6 39   517
   19 20 16  4 39   531
   19  6 26  6 39   466
   19 12 22  5 39   534
   19  9 32  3 14   532
   18  6 18 27 32   449
   23 39  1 28  3   521
   21  7 13 24 32  1257
   20  3 16 25 33  1016
   20  8  9 27 22   426
   19  5 16 28  0   829
   19 16  9 22 17   457
   19 15 13 22  2   537
   19 12 12 22 12   634
   19 13 10 24 34   535
   21 11 14 24 10   699
   20 13  9 26 22   465
   19 15  9 24 34   442
   19 15 12 25  4   762
   20  9 12 27 20   463
   19 10 14 30  0   585
   19  6 13 25 34   470
   20  9 14 18 36   416
   20  7 15 22 33   616
   19  8 15 27 12   478
   18  1 34 18 23   564
   21  1 37 16  0   672
   20  1 31 12 33   598
   20  1 34 20  0   604
   20  1 35 12 11   689
   19  1 37 18  0   719
   18 11 10 23 36   617
   20  8 13 19 36   626
   20 11 12 25 22   589
   18  4  5 28 32   608
   18  1 25 22 26   897
   18 23 20  4 39   538
   22 23 13  6 36   580
   20 39 13  4 36   895
   19 21 16  7 11   758
   19 21 16  6 39   569
   19 24 16  3 39   588
   18 17 12 17 39   803
   18 10 16 22 33   664
   22  9 18 17 30   852
   20 15 16 16  3   624
   20 13 12 22 27   625
   19 17 15 25  0   802
   19 15 14 17 30   614
   21 14 16 17 13   952
   21 12 15 24 10  1156
   18 39 10 17 37   759
   18  1 37 11 27   730
   18  7 13 27 33   847
   18  1 23 23  8  1178
   19  1 19 26 22   547
   21  1 21 23 22   594
   19  4 23 24  0   627
   18 39 13  6 31   613
   19 25 14  6 20  1158
   18 20 21  4 39  1446
   19 22 21  3 30   799
   19 26 22  2 29   898
   18 25 25  2 39   691
   20 18 26  2 39   918
   20 22 31  2  4   793
   20 18 28  2 37   836
   19 19 22  3 39  1185
   19 17 30  3  1   851
   19 11 25  9  0   850
   18 23 12  9 30   743
   18  7 19 20 19   849
