#
# Version TT_2.0.1
#

#  Parameter thresholds:
    0.000437508494989    0.000695958681429    1.171568627450981 -178.500000000000000
   23  6 28  8 13   810
   25  2 26  6 16   894
   25 12 27  6 13   700
   24  7 31  6 13   850
   26 12 30  4 14   835
   24  1 31  6 14   997
   24  9 31  5 14   809
   24  7 28  7 14   476
   24 14 29  7 10   498
   23  9 27  6 18   558
   29  5 27  4 20   613
   25  9 25  6 19   940
   23  7 24  8 19   517
   25  3 24  7 20   618
   23 17 25  2 18   701
   26 15 27  0 20   570
   25 16 27  3 14   612
   25 18 25  1 19   992
   24 21 24  2 14  1054
   24 17 24  4 15   483
   24 15 27  4 14   496
   23 22 21  6 17   591
   23 21 21  5 19   547
   24 19 21  8 19   548
   23  5 33  2 19   661
   26  5 36  2 16   897
   25 10 35  3 13   479
   24  8 37  3 14   569
   23 26 22  6  5   614
   24 27 21  1  8   592
   23  5 26  6 20   471
   23 27 16  8 15   622
   24 28 17  9 10   413
   24 27 19  8  6   480
   24 27 18  8 10   616
   23 23 22 10 10   677
   26 22 22  8 12   534
   23 25 18  7 17   594
   25 25 18  9 15   624
   23 20 32  4  5   692
   23 17 25  5 15   607
   24 16 25  6 14   573
   24 17 24 10  9   536
   24 20 26 11  6   883
   24 18 26  7  8   739
   23 18 21 10 16   508
   23 27 18  3 17   485
   26 27 19  1 16   817
   24 27 18  7 12   527
   24 27 20  1 13   491
   23  7 23  9 19   531
   25  9 23 10 14   593
   23 20 20  6 20   524
   23 17 19 10 18   537
   23 26 19  9  9   568
   23 23 17 13 13   443
   24 23 16 13 15   494
   24 19 18 13 13   697
   23 17 18 13 18  1121
   27  9 17 12 19   644
   27 11 18 11 20   410
   23 15 28  6 12   461
   24 15 28  5 14   466
   24 14 29  7 11   865
   24 17 24  7 12   652
   25 14 23  8 16   430
   24 18 23  7 13  1118
   23 15 18 11 20   477
   24 15 18 12 19  2808
   23 23 20  3 17   744
   23 24 20 16  6   484
   23 19 32  4  6   606
   24 17 34  1 11   488
   23 17 27  2 14   490
   24 18 27  1 16   530
   23  3 27  8 15   532
   23  3 25  7 20   841
   23  7 25  8 17   505
   23 24 16  8 19   509
   23 14 23  8 18   474
   23 17 39  0 14   708
   23 27 19  4  9   653
   23 13 29  8 11   734
   23 19 21  3 20   724
   23 13 23  7 19   489
   23 25 20  1 19   648
   22 20 19 16 20   533
   29 21 19 15 17   874
   26 24 20 17  8   706
   26 21 17 15 19   510
   26 17 20 12 15   646
   26  7 22 13 12   455
   26 17 20 13 15   482
   25 23 21 13 10   511
   24 22 13 15 20   649
   25 23 15 15 18   417
   24 26 15 15 13   506
   25 24 19 10 13  1012
   24 25 17 16 12   735
   24 26 17 13 13   731
   23 22 17 10 20   730
   23 20 21 11 15  1090
   24 22 21 12 12   725
   24 24 19 13 13   721
   23 20 21  9 19   467
   23 24 15 15 16   598
   23 23 22 13 10   584
   22 15 19  5 21   583
   27 18 17  2 21   599
   25 17 17  4 21   579
   24  2 17  6 21   723
   24 17 19  2 21   582
   25 20 18  1 21   670
   23 17 20  0 21   671
   23  4 21  1 21   492
   24  3 23  0 21   478
   23 18 17  4 21   691
   22 29 18  8 11   452
   25 39 17  2 17   540
   24 39 18  3  8   934
   24 28 20  2  5   669
   24 29 20  6  3   549
   22 19 20 13 19   541
   24  1 21 10 18   626
   22 20 22  8 19   625
   26 21 22  9 14   904
   25 22 22  4 17   910
   24 18 23  8 14  1056
   23 20 23  2 19   664
   23 19 24  2 18   926
   23 21 22  4 19  1072
   23 19 24  1 20   580
   23 17 24  8 13   855
   23 21 24  2 16   717
   23 18 23  4 18   574
   23 21 23  3 18   689
   22  5 31  5 18   550
   23  6 30  6 16   687
   24  9 29  5 18   715
   23  6 28  4 19   846
   22 15  9 22  9   600
   24 39 14 23  7   562
   24 19 13 21  9   627
   23 22 19 18  9   849
   23 27 21 26  2  1105
   23 26 22 18  4   559
   23 23 21 16 10   803
   24 21 25 18  5   854
   22 16 25  5 18  2458
   25 10 26  6 19   802
   24 13 27  4 17   716
   24 15 26  5 17   989
   24 11 26  6 19   898
   22 22 24  2 15   916
   25 22 24  6  8   634
   22 23 22  4 16   834
   24 25 21  0 18   749
   23 23 20  7 16   807
   24 24 19  6 19   852
   23 24 18  7 19   757
   23 23 20  4 19   632
   22 26 22  0 17   811
   22 17 30  3 14   892
   22  6 24  9 19   629
   22 11 33  5 13   748
   23  6 33  4 18   995
   23 10 37  4 14  1004
   23  5 32  5 18   912
   22 26 19  5 13   959
   23 28 19  2 11   909
   23 26 20  2 10   617
   24 26 22  5  6   994
   22 27 21  8  7   611
   24 27 22  8  5   754
   24 24 22  6  8   996
   24 26 21 16  7   813
   23 25 19 11 12   812
   22 39 13 13 20   608
   22 26 21 12  8   603
   22 24 22 11 10   663
   24 26 21  2 10   682
   24 26 21  1 16   564
   23 25 22  3 10   590
   22 25 21  5 12   961
   24 24 20 12 12   623
   24 26 20  4 12   741
   23 23 22  7 12   630
   23 25 20  2 14  1167
   22 16 34  4 10   666
   24 19 33  4  7   595
   23 21 25  8  7   684
   23 17 28  4 14   818
   23 18 26  4 12   742
   22 21 25  2 11   993
   24 22 25  0 15   884
   22 19 12 19 10   962
   22 39 16  2 20  1309
   22 10 25  7 19   499
   23 14 27  7 13   633
   23 13 26  8 14   816
   22 14 23 10 14   681
   22 10 23 10 17   679
   22  3 31  8 10   765
   22 14 33  5 11   621
   23 15 31  7  9   901
   22 12 31  7 12  1242
   22  9 30  7 16   602
   23 13 29  7 14   654
   22 17 24 10 11   651
   22 27 18  2 18   678
   22 39 17  5 18   861
   22 23 24  4  6   589
   23 23 25  4  5   819
   22 23 23  3 15   572
   22 22 25  2 13   680
   23 19 25  2 18  1038
   23 22 25  8  7   685
   23 23 23  7  8  1116
   23 23 25  9  6   683
   23 24 25 18  3   740
   22 39 18  8  5   538
   22 28 20  1 11   650
   22  2 28  8 16   693
   22 23 14 13 20   518
   22 25 16  7 20   571
   23 24 17  7 20   858
   22 23 16 10 20   766
   22 13 23  4 20  1046
   22 14 29  0 20  1294
   22  5 27  9 13   825
   22 19 22 16 10   605
   22 24 14 16 17   619
   22 21 15 16 20   710
   22 11 29  8 14   707
   22 22 21 10 14   696
   22 26 16  7 17   736
   22 39 14  8 19   585
   22  1 22 10 18   656
   22 24 19 11 14   767
   22 24 18 10 16   762
   22 11 21  0 21   768
   22 23 22 12 11   823
   22 23 21  6 16   655
   22 23 22  5 15   628
   22 23 22  7 14   775
   22 23 23  6  9   709
   22 25 22  3 11   859
   22  6 22  9 20   620
   22  6 36  2 17   829
   22  0 39  2 17  1214
   22  9 37  2 18   769
   24 11 33  3 17   587
   23 10 30  2 20   501
   23  9 31  2 20   726
   22 10 31  5 17   635
   22 10 33  4 18   737
   22 14 29  1 20  1025
   23 13 29  3 18   732
   21 12 17 13 21  1033
   24 14  6 12 21  1063
   24 13  8 11 21   604
   23 14 16 10 21   720
   23 17  9 10 21  1064
   23 17  8 11 21   578
   21  6 20  7 21  1213
   21 17 23  9 20   695
   23 19 21  8 20   581
   24 20 21  6 20   843
   23 18 23  9 17   596
   23 21 21  4 20  1027
   22 11 26  6 20   631
   21 26 17 10 20  1477
   25 25 18  8 19   694
   23 24 15 13 20   539
   22 24 17 13 19   719
   23 23 16 13 20  1016
   22 26 17 11 19  1062
   22 23 19 12 16  1364
   21 25 21  4 20  1019
   23 24 22  2 15  1015
   22 25 20  5 15   512
   21 18 25  7 19  1052
   26 18 26  5 16   799
   25 18 24  3 20   787
   23 13 26  4 20   772
   24 13 29  2 20   870
   22 17 24  8 19   915
   22 16 29  2 17  1375
   22 11 25  7 20   752
   22 19 24  2 20  1102
   21 23 18 18 12   779
   24 23 19 17 12   686
   22 39 16 18 10   856
   23 27 17 13 12   797
   22 39 17 10 11   713
   21  4 23  2 21   920
   23  7 23  1 21   798
   22 11 23  0 21   930
   21  4 28  7 20   905
   23  7 28  7 19   851
   24 13 27  5 19   756
   22  8 33  4 19   914
   23 13 29  4 19   906
   24 12 28  7 17   908
   23  9 31  3 20   800
   23  5 29  4 20  1106
   22  5 32  5 19   751
   21 23 23  5 18   747
   23 22 24  5 10   804
   23 24 20  6 18   805
   22 23 23  7 12   790
   23 20 23  7 16   847
   22 25 21  5 18   838
   22 23 22  3 19   820
   21 25 19 11 19   783
   24 22 20 12 18   871
   22 24 18 13 19   714
   22 24 20  7 17   919
   21 18 13 10 21  1243
   21  8 29  8 19   755
   22  2 31  6 19   957
   22 11 29  8 17   881
   22 16 25  8 18   777
   21 24 19 10 20  2459
   24 25 19  8 20   911
   21 39  9 26  9  1085
   26 19 12 27  8   750
   21 21 25  4 18  1005
   22 19 25  7 13   778
   22 20 25  2 19   806
   21 17 17  7 21  1039
   22 13 17 10 21   983
   21 19 28  7 11   958
   24 19 31  6  8  1003
   23 18 27  5 15   753
   22 17 30  5 14  1041
   22 21 29  6  4   690
   22 17 29  7 12   657
   22 18 30  7 10  1126
   22 16 34  6  9  1042
   22 21 26  8  7  1253
   21  9 20 13 20  1201
   23 14 20 11 20   698
   21 10 23 10 20   872
   24 13 22 10 19  1127
   22 19 21 10 19   837
   21  5 21 13 20  1043
   24 17 21 12 18   999
   23 11 21 13 19   738
   21 20 12  5 21   889
   21 22 15  3 21   918
   23 20 15  4 21   960
   21 24 14  2 21  1378
   21 10 35  2 20  1473
   23  3 36  2 20   836
   22  7 35  4 19   758
   22  9 36  4 17  1285
   21  6 34  5 19   887
   22  9 36  6 12   712
   23 14 39 18  3   885
   23  3 36  5 17   998
   22 13 33  8 11   913
   23 14 35 10  6  1000
   22 17 32  7 11   928
   22  9 35  5 17   888
   22  2 34  9 10  2112
   23 11 31  9 11  1001
   22 20 36  6  5   745
   22 16 35  6 10   672
   22 11 35  4 17   895
   22  6 27  9 15   987
   21 27 20  2 14  1109
   22 27 20  5  9   780
   22 26 21  2 13   839
   22 28 20  2  9   878
   21  2 30  6 20  1287
   23  4 29  7 20  1190
   21 11 20  2 21  1271
   22 18 20  1 21  1060
   21 10 20  5 21  1205
   22  7 20  6 21   636
   21  7 32  4 20  1713
   21 28 17 12 13   674
   22 39 17  9 14   879
   24 39 17  6 18  1286
   22 39 16  7 17  1289
   21 15 16 10 21   947
   21 22 26  6  8   917
   21 20 24  6 18   782
   21 16 31  5 15   942
   24 14 35  4 13   743
   21 22 21  5 20   890
   22 21 20  7 20  1323
   21 24 20  6 20  1189
   21 21 24  7 13   886
   21 19 10 10 21  1293
   21 18 29  6 13  2113
   22 20 28  0 16   784
