#
# Version TT_2.0.5beta
#

#  Parameter thresholds:
    0.000003366210175    0.001512401693890    1.077935222672065    0.025367402581773
   24 18 28 22 45   464
   25 26 25 23 39   845
   24  5 34 23 39   428
   26  5 32 23 45   476
   25 28 35 20 30   459
   25  0 34 18 46   477
   24  2 33 24 38   922
   27  8 30 28 34   679
   27 28 28 24 34   537
   26  9 37 24 31   516
   25  3 28 25 43   598
   25 12 40 21 31   802
   24 26 27 27 32   540
   25 33 26 28 21   475
   24 30 37 20 30   563
   24 42 36 19 25   560
   24 35 40 17 26   502
   25 37 38 15 36   527
   24 43 32 16 38   931
   24 26 26 29 27   636
   24 38 29 16 46   500
   24 47 41 14 15   648
   24 37 34  7 49   490
   24 25 42 21 21   452
   25 29 40 23 17   473
   25 39 36 23 19   632
   25 37 35 23 23   778
   25 29 35 25 17   651
   26 32 34 24 23   549
   24 17 23 34 19   503
   24 36 32 34  1   701
   26 30 35 36  0   602
   24 36 31 34  2   587
   24 11 26 27 42   497
   24 21 40  9 46   449
   24 43 41  5 39   494
   24  3 28 25 45   525
   24 21 34 32  4   488
   26 19 40 34  1   652
   24 18 25 32 24   641
   24 20 19 32 33   492
   26 23 24 30 31   688
   25  7 19 31 36   691
   25 16 19 34 31   562
   24 25 13 32 34   631
   24 32 32 23 30   553
   25 42 34 21 26   466
   24 35 38 20 26   645
   26 36 39 23 15   669
   24 36 39 24  9   465
   25 43 36 24  7   858
   25 34 34 24 23   779
   24 42 38 29  0   792
   24 33 33 20 33   447
   24 39 40 18 21   561
   24 11 25 32 32   496
   24 44 49 12 13   984
   23 15 20 27 49   493
   25 20 23 28 38   582
   24  3 27 27 44   482
   24  8 24 25 47   630
   23 43 23 36  8   586
   25 28 22 34 19   506
   25 21 35 36  2   489
   24 34 24 34 10   481
   26 31 27 34  7   507
   25 34 27 36  4   665
   23 33  9 35 12   618
   23  0 38 18 48   478
   25 24 35 16 43   614
   24  6 35 23 38   484
   24 21 37 16 41   498
   25 12 39 21 34   619
   24 40 35 14 38   613
   24 43 34 15 38   480
   26 44 38  7 41   612
   25 49 38  7 39   483
   25 49 35  8 45   851
   25 49 33  8 49   535
   24 49 39 11 31   756
   24 39 33 12 45   542
   23 42 33 16 42   595
   25 49 31 15 44   975
   25 49 34 10 43   572
   24 49 31 12 49   757
   24 43 33 12 46   754
   24 37 31 18 43   531
   23  3 32 25 44  1176
   25  5 33 24 42  1428
   24  6 29 28 37   538
   24  6 29 27 41   626
   23 49 36 18 30   625
   24 33 36 18 33   606
   23 40 35 16 43   752
   25 43 35 15 43   765
   25 37 36 14 43   596
   25 31 36 18 37   518
   26 33 32 18 45   529
   26 40 35 17 41   591
   24 21 34 19 42   569
   25 30 33 21 35   533
   24 37 34 21 30   526
   24 20 36 23 30   508
   24 29 34 24 27   788
   24 33 33 24 27  1178
   25 37 29 24 27   818
   24 33 36 17 42   521
   24 39 26 24 29   682
   24 26 32 19 44   684
   25 38 26 20 42   565
   24 30 26 22 39   575
   24 38 25 19 45   536
   25 31 19 22 45   653
   24 33 25 21 44   685
   23 29 32 22 39   576
   25 32 33 23 32   638
   25 37 29 20 39   635
   24 18 31 23 44   573
   24 27 28 24 36   607
   24 30 31 23 37   570
   24 49 29 20 39   534
   24 37 30 22 33   767
   24 37 28 24 30   681
   24 49 23 24 30  1008
   24 49 21 27 24   771
   24 33 30 25 26   678
